image_size,timesteps,channels,gridder_s,sub_fft_s,wtiling_s,known_kernel_s,wall_s,wall_s_mean,wall_s_std,throughput_mvis_s_mean,throughput_mvis_s_std,gpu_sm_util_mean_pct,gpu_sm_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_mem_used_sum_mb_peak,gpu_sm_util_active_mean_pct,gpu_mem_util_active_mean_pct,gpu_mem_used_sum_mb_active_mean,cpu_power_sum_w_mean,other_s,n_runs
32768,8,128,0.121763,0.007103,0.172585,0.301451,164.7,164.7,,755.99,,0.09312391788276032,23.0,0.04347019539945585,16.75,53858.0,6.491379310344827,3.0301724137931036,27119.172413793105,234.45175147492628,164.398549,1
32768,8,256,0.21536499999999997,0.009540100000000001,0.26707000000000003,0.4919751,206.16,206.16,,993.18,,0.09508084718742883,24.5,0.04150535185606923,16.25,52822.0,6.733870967741935,2.939516129032258,27637.09677419355,234.9216055956679,205.6680249,1
32768,64,1,0.180649,0.0206988,0.25587,0.4572178,130.43,130.43,,31.84,,0.16802954365602743,25.0,0.08289369559482986,17.0,55360.0,7.0777777777777775,3.4916666666666667,26149.866666666665,234.33607858081476,129.9727822,1
32768,64,8,0.20658,0.0214101,0.277904,0.5058941,164.84,164.84,,236.1,,0.1368649318463445,24.25,0.07087980173482032,15.75,54518.0,7.778169014084507,4.028169014084507,31288.422535211266,234.49853243243243,164.3341059,1
32768,64,64,0.469741,0.0213102,0.6497930000000001,1.1408442,370.07,370.07,,741.7399999999999,,0.13525243578387955,25.0,0.0562444641275465,16.5,54408.0,8.676136363636363,3.6079545454545454,32291.159090909092,235.60633779735687,368.9291558,1
32768,64,128,0.822139,0.0247919,0.9742569999999999,1.8211879,611.57,611.57,,913.3520000000001,,0.14164534805439613,25.0,0.0497172478793591,16.5,54354.0,10.115384615384615,3.550480769230769,34223.730769230766,234.92941405622489,609.7488121,1
32768,64,256,1.578246,0.03841769999999999,2.1307139999999998,3.7473776999999995,1113.25,1113.25,,998.0174999999999,,0.12339786086802794,25.0,0.030694775921506233,16.75,53962.0,10.34074074074074,2.5722222222222224,36092.35555555556,235.5266142355009,1109.5026223,1
32768,128,1,0.22209800000000002,0.022882600000000003,0.315805,0.5607856,215.97,215.97,,51.56,,0.1510779249943858,24.0,0.07057040197619582,17.0,55380.0,8.105421686746988,3.786144578313253,27039.710843373494,234.9508909212581,215.4092144,1
32768,128,8,0.27128399999999997,0.024053500000000002,0.35709300000000005,0.6524305,249.51,249.51,,363.23,,0.1415592647369533,25.0,0.06739911261356434,16.25,54698.0,9.305555555555555,4.430555555555555,27191.944444444445,235.31120728643214,248.85756949999998,1
32768,128,64,0.8427276,0.0306087,1.1246179999999997,1.9979542999999997,658.26,658.26,,934.058,,0.13890994063407858,24.5,0.0455980800808387,16.5,54172.0,10.089449541284404,3.311926605504587,34318.0,236.14773488372091,656.2620457,1
32768,128,128,1.5583830000000003,0.0332593,2.2798380000000003,3.871480300000001,1127.1,1127.1,,888.049,,0.133674630261661,25.0,0.035967445523759516,17.0,54742.0,10.53448275862069,2.8344827586206898,35975.33793103448,235.60431965499217,1123.2285196999999,1
32768,128,256,3.038443,0.0387958,4.214918000000001,7.292156800000001,2163.41,2163.41,,1011.3512499999999,,0.12443161497981914,25.0,0.02438307873090482,16.75,53530.0,11.020361990950226,2.159502262443439,38673.49321266968,236.3752964788375,2156.1178431999997,1
32768,256,1,0.26531000000000005,0.0285861,0.360227,0.6541231000000001,307.69,307.69,,90.09,,0.13044959128065395,25.0,0.06111327364733359,16.5,54080.0,7.885294117647059,3.6941176470588237,28501.647058823528,234.0541018751208,307.0358769,1
32768,256,8,0.375879,0.0259929,0.549829,0.9517009000000001,429.41,429.41,,336.13,,0.12432454560340593,25.0,0.05567381693139021,16.75,52862.0,8.727011494252874,3.9080459770114944,30678.689655172413,234.74067046936113,428.45829910000003,1
32768,256,64,1.573266,0.035824100000000005,2.290371,3.8994611,1247.49,1247.49,,912.0290000000001,,0.11960585127996749,25.0,0.03271028037383177,17.0,54824.0,10.5125,2.875,36735.3,234.58572736833588,1243.5905389,1
32768,256,128,2.997126,0.039572600000000006,4.4456359999999995,7.4823346,2316.78,2316.78,,944.1700000000002,,0.12203047415052089,25.0,0.02548437347872651,16.75,53794.0,10.712606837606838,2.2371794871794872,38719.307692307695,235.34708271987597,2309.2976654000004,1
32768,256,256,5.940126000000001,0.0582526,8.486073,14.4844516,4204.0,4204.0,,1006.0415624999999,,0.11972379603399433,25.0,0.018944759206798868,16.75,53474.0,12.214595375722544,1.9328034682080926,41218.832369942196,235.74323722699734,4189.5155484,1
